Edge ID,Capacity (vehicles/hour)
:10001386200_c0,2
:10001386200_w0,2
:10001386200_w1,2
:10001386201_w0,2
:10001386202_w0,2
:10001386208_c0,2
:10001386208_w0,2
:10001386208_w1,2
:10001386209_w0,2
:10001421019_w0,2
:10001421021_w0,2
:10001534773_w0,2
:10001550548_w0,2
:10001550554_w0,2
:10001556568_w0,2
:10001558088_w0,2
:10001558089_c0,2
:10001558089_w0,2
:10001558089_w1,2
:10001558090_w0,2
:10001558091_c0,2
:10001558091_w0,2
:10001558091_w1,2
:10001570956_w0,2
:10001570959_w0,2
:10001570960_w0,2
:10001570962_w0,2
:10001570963_w0,2
:10001570965_w0,2
:10001570969_w0,2
:10001570970_w0,2
:10001570973_w0,2
:10001570974_w0,2
:10001570975_w0,2
:10001570976_w0,2
:10001570983_w0,2
:10001570984_w0,2
:10001570987_w0,2
:10001570991_w0,2
:10001578434_w0,2
:10001578435_w0,2
:10001813861_c0,2
:10001813861_w0,2
:10001813861_w1,2
:10001813864_w0,2
:10001813866_w0,2
:10001865647_w0,2
:10001865650_w0,2
:10001878099_c0,2
:10001878099_w0,2
:10001878099_w1,2
:10001878101_w0,2
:10001878102_c0,2
:10001878102_w0,2
:10001878102_w1,2
:10001878104_w0,2
:10001878106_c0,2
:10001878106_w0,2
:10001878106_w1,2
:10001878108_w0,2
:10001878114_w0,2
:10001878115_w0,2
:10001879145_w0,2
:10001901361_w0,2
:10001927919_w0,2
:10001927922_w0,2
:10001927925_w0,2
:10001927927_w0,2
:10001940015_c0,2
:10001940015_w0,2
:10001940015_w1,2
:10001940016_w0,2
:10001940017_w0,2
:10001940019_w0,2
:10001940021_w0,2
:10001940024_w0,2
:10001940030_w0,2
:10001940031_w0,2
:10001940035_w0,2
:10001940036_w0,2
:10001940037_w0,2
:10001950781_c0,2
:10001950781_w0,2
:10001950781_w1,2
:10001950784_w0,2
:10001950785_c0,2
:10001950785_w0,2
:10001950785_w1,2
:10001950788_w0,2
:10001950789_c0,2
:10001950789_w0,2
:10001950789_w1,2
:10001950792_w0,2
:10001950793_c0,2
:10001950793_w0,2
:10001950793_w1,2
:10001950798_w0,2
:10001950799_w0,2
:10001950802_w0,2
:10001950803_w0,2
:10001950806_w0,2
:10001950810_w0,2
:10001950811_c0,2
:10001950811_w0,2
:10001950811_w1,2
:10001950814_w0,2
:10001950816_w0,2
:10001952117_w0,2
:10001952119_w0,2
:10001952120_w0,2
:10001952121_w0,2
:10001952122_w0,2
:10001952123_w0,2
:10001961464_w0,2
:10001961472_w0,2
:10001961473_w0,2
:10001961476_w0,2
:10001961477_w0,2
:10001961478_c0,2
:10001961478_w0,2
:10001961478_w1,2
:10001961479_w0,2
:10001961480_w0,2
:10001961481_w0,2
:10001961485_w0,2
:10001961486_w0,2
:10001961489_w0,2
:10001961498_w0,2
:10001961500_w0,2
:10001961501_w0,2
:10001961502_w0,2
:10001961504_w0,2
:10001965519_w0,2
:10001965521_c0,2
:10001965521_w0,2
:10001965521_w1,2
:10001965522_w0,2
:10001965525_w0,2
:10001965526_w0,2
:10001965529_w0,2
:10001965537_w0,2
:10001965541_w0,2
:10001988234_c0,2
:10001988234_w0,2
:10001988234_w1,2
:10001988238_w0,2
:10001988241_w0,2
:10001988242_c0,2
:10001988242_w0,2
:10001988242_w1,2
:10001988250_w0,2
:10001988251_w0,2
:10001988254_w0,2
:10001988256_c0,2
:10001988256_w0,2
:10001988256_w1,2
:10001988257_w0,2
:10001988259_w0,2
:10001988262_w0,2
:10002059992_w0,2
:10002059996_w0,2
:10002060001_w0,2
:10002060004_w0,2
:10002060006_w0,2
:10002060009_w0,2
:10002060012_w0,2
:10002073812_w0,2
:10002078166_w0,2
:10002078169_w0,2
:10002078170_w0,2
:10002078172_w0,2
:10002078173_w0,2
:10002078176_w0,2
:10002078182_w0,2
:10002078183_w0,2
:10002078184_w0,2
:10002089502_w0,2
:10002089505_w0,2
:10002089507_w0,2
:10002094018_w0,2
:10002094020_w0,2
:10002094021_w0,2
:10002094022_w0,2
:10002094023_w0,2
:10002094024_w0,2
:10002094025_w0,2
:10002100525_w0,2
:10002100529_w0,2
:10002100530_w0,2
:10002100533_w0,2
:10002100534_w0,2
:10002100537_w0,2
:10002100542_w0,2
:10002100547_w0,2
:10002106721_w0,2
:10002106731_w0,2
:10002106734_w0,2
:10002106737_w0,2
:10002106738_w0,2
:10002106740_w0,2
:10002106741_w0,2
:10002106744_w0,2
:10002106745_w0,2
:10002106747_w0,2
:10002106748_w0,2
:10002106750_w0,2
:10002106754_w0,2
:10002117732_w0,2
:10002117735_w0,2
:10002117736_w0,2
:10002117742_w0,2
:10002117743_w0,2
:10002117747_w0,2
:10002117748_w0,2
:10002117751_w0,2
:10002117753_w0,2
:10002117756_w0,2
:10002117759_w0,2
:10002117767_w0,2
:10002117768_w0,2
:10002117773_w0,2
:10002117776_w0,2
:10002125082_w0,2
:10002125085_w0,2
:10002125086_w0,2
:10002125089_w0,2
:10002125090_w0,2
:10002125093_w0,2
:10002125094_w0,2
:10002125097_w0,2
:10002125098_w0,2
:10002125101_w0,2
:10002125106_w0,2
